,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
5,3408,USDC,USDC,usd-coin,21592,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34832300485.70086,34832300485.70086,False,,6,,,,2024-08-21T12:21:00.000Z,0.9998979006438646,4819449964.769871,-1.9452,-0.01806291,-0.01708696,-0.02503389,-0.0024477,-0.0224737,-0.01877713,34828744130.24856,1.672,34828744130.25,,2024-08-21T12:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-21 14:24:59.012750
6,52,XRP,XRP,xrp,1369,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56113081096.0,99987342059.0,False,,7,,,,2024-08-21T12:22:00.000Z,0.595089597694659,1126981617.9105241,-24.5213,-0.57658755,-1.89814503,2.64620124,-2.76467839,22.54838593,12.56524716,33392310854.826412,1.5915,59508959769.47,,2024-08-21T12:22:00.000Z,,,,,,2024-08-21 14:24:59.012750
7,11419,Toncoin,TON,toncoin,518,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2525488011.3908396,5110813859.824736,True,,8,3414166606.0,22985836359.210213,,2024-08-21T12:21:00.000Z,6.732488191646911,239141269.35772243,-17.5844,-0.01872357,-1.56068352,-5.3620984,-4.31768683,-6.37793699,4.19041723,17002818214.834667,0.8102,34408493960.98,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
8,74,Dogecoin,DOGE,dogecoin,1041,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145624756383.70523,145624756383.70523,True,,9,,,,2024-08-21T12:21:00.000Z,0.10338888404952051,490439848.8881734,-22.5046,-0.62971468,-1.70501835,-2.33399434,-25.17459653,-16.8837284,-38.48510561,15055981052.494572,0.7228,15055981052.49,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
9,1958,TRON,TRX,tron,1013,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86913249706.19148,86913425699.51657,True,,10,71659659264.0,11808078822.105064,,2024-08-21T12:21:00.000Z,0.16478000235255297,1876530938.1560783,124.5192,-0.4086411,10.40114543,26.04854462,22.49898438,37.68389319,39.89653164,14321565491.054256,0.6828,14321594491.23,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
10,2010,Cardano,ADA,cardano,1229,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35948591607.535,37143587993.987,False,,11,,,,2024-08-21T12:21:00.000Z,0.3511230933417325,273288138.3057664,27.6357,-0.03656459,1.5947821,2.71084361,-19.55067068,-6.84414115,-27.5236359,12622380686.516335,0.6016,15800539200.38,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
11,5805,Avalanche,AVAX,avalanche,766,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,404768827.3934046,444771927.3934046,False,,12,,,,2024-08-21T12:21:00.000Z,22.910788315541918,302115959.41956186,41.3202,-0.32083297,3.51629789,6.11071128,-29.11571002,-10.84112227,-42.89255914,9273572921.140417,0.442,16398367388.13,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
12,5994,Shiba Inu,SHIB,shiba-inu,859,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270344160087.4,589519059471796.2,False,,13,,,,2024-08-21T12:21:00.000Z,1.3654568286758765e-05,172472486.1424627,-15.0408,-0.41469916,-0.97480658,-1.65910265,-23.29879349,-24.26749527,-46.57450448,8046232153.695752,0.3835,8049628253.9,,2024-08-21T12:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-21 14:24:59.012750
13,6636,Polkadot,DOT,polkadot-new,802,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1483502974.307109,1483502974.307109,True,,14,1483502974.3068032,6718120574.987995,,2024-08-21T12:22:00.000Z,4.528552144040812,85825195.65228058,-17.4786,-0.40960006,-0.25808808,0.36662048,-28.19257053,-20.9931023,-39.7738421,6718120574.98938,0.3202,6718120574.99,,2024-08-21T12:22:00.000Z,,,,,,2024-08-21 14:24:59.012750
14,1831,Bitcoin Cash,BCH,bitcoin-cash,913,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19749856.25,19749856.25,False,,15,,,,2024-08-21T12:21:00.000Z,336.91630494482285,215367811.5676537,28.2513,-0.15294293,-1.40479195,-2.65901984,-13.70691005,-13.08862882,-33.67231387,6654048590.941416,0.3171,7075242403.84,,2024-08-21T12:21:00.000Z,,,,,,2024-08-21 14:24:59.012750
